gid,pop2009,county,subcounty,ward,uid,scuid,cuid,voters,david_waih,george_waj,raila_odin,reuben_kig,william_ru
658,30773,WEST POKOT,Pokot South Sub County,Batei Ward,Vfo6mLv2MkA,u2zJahNiSP5,XWALbfAPa6n,,,,,,
659,33527,WEST POKOT,Pokot South Sub County,Lelan Ward,NfgFPylvlvN,u2zJahNiSP5,XWALbfAPa6n,,,,,,
660,26237,WEST POKOT,Pokot South Sub County,Tapach Ward,WmCj9vCPVH2,u2zJahNiSP5,XWALbfAPa6n,,,,,,
661,14020,SAMBURU,Samburu Central Sub County,Lodokejek Ward,PRuQd7VjO3x,EmQRGVtvWy3,o36zCRjSd4G,,,,,,
679,21498,TRANS NZOIA,Kwanza  Sub County,Bidii Ward,NAWbghvoSOZ,ABy8CNqf2e7,mThvosEflAU,,,,,,
685,39662,TRANS NZOIA,Saboti  Sub County,Tuwani Ward,xpKH3jY02I5,y2M16lesMsF,mThvosEflAU,,,,,,
686,34988,TRANS NZOIA,Saboti  Sub County,Saboti Ward,OBSb0eIl4tb,y2M16lesMsF,mThvosEflAU,,,,,,
687,19999,TRANS NZOIA,Saboti  Sub County,Machewa Ward,GQFH01xLj74,y2M16lesMsF,mThvosEflAU,,,,,,
691,30234,TRANS NZOIA,Kiminini  Sub County,Hospital Ward,O6JUPINK7vr,pzZHpL2ueIn,mThvosEflAU,,,,,,
692,24129,TRANS NZOIA,Kiminini  Sub County,Sikhendu Ward,SvN2Xzl3FK7,pzZHpL2ueIn,mThvosEflAU,,,,,,
700,26364,TRANS NZOIA,Cherangany Sub County,Sitatunga Ward,jUfXO40BeXD,f18kGo9yXWo,mThvosEflAU,,,,,,
736,18903,ELGEYO-MARAKWET,Marakwet West Sub County,Sengwer Ward,T8RJtzhGvHA,fNCuk4Lpsnh,MqnLxQBigG0,,,,,,
737,18172,ELGEYO-MARAKWET,Marakwet West Sub County,Cherangany  Ward,z5brnaiDs4p,fNCuk4Lpsnh,MqnLxQBigG0,,,,,,
738,19277,ELGEYO-MARAKWET,Marakwet West Sub County,Moiben Kuserwo Ward,aMEeDm5knkx,fNCuk4Lpsnh,MqnLxQBigG0,,,,,,
739,25423,ELGEYO-MARAKWET,Marakwet West Sub County,Kapsowar Ward,bxngHzifzKY,fNCuk4Lpsnh,MqnLxQBigG0,,,,,,
740,6488,ELGEYO-MARAKWET,Marakwet West Sub County,Arror Ward,nwXVUZOi5LN,fNCuk4Lpsnh,MqnLxQBigG0,,,,,,
741,25057,ELGEYO-MARAKWET,Keiyo North Sub County,Kamariny Ward,upVp36SDGsU,rlWH0Ac9vjc,MqnLxQBigG0,,,,,,
742,9602,ELGEYO-MARAKWET,Keiyo North Sub County,Emsoo Ward,i7TCmhUejq5,rlWH0Ac9vjc,MqnLxQBigG0,,,,,,
743,15930,ELGEYO-MARAKWET,Keiyo North Sub County,Tambach Ward,q3dexsgOLhS,rlWH0Ac9vjc,MqnLxQBigG0,,,,,,
744,23126,ELGEYO-MARAKWET,Keiyo North Sub County,Kapchemutwa Ward,XMy3sTrrhew,rlWH0Ac9vjc,MqnLxQBigG0,,,,,,
745,19069,ELGEYO-MARAKWET,Keiyo South Sub County,Kaptarakwa Ward,elLT94gpbch,SOEG546PqbA,MqnLxQBigG0,,,,,,
746,23349,ELGEYO-MARAKWET,Keiyo South Sub County,Chepkorio Ward,ca3KHxzwLQy,SOEG546PqbA,MqnLxQBigG0,,,,,,
750,12945,ELGEYO-MARAKWET,Keiyo South Sub County,Metkei Ward,mdOmXEGyL3l,SOEG546PqbA,MqnLxQBigG0,,,,,,
751,39934,NANDI,Tinderet Sub County,Songhor/Soba Ward,MWpytk1a5rh,NPYRMdqrK6L,t0J75eHKxz5,,,,,,
752,27896,NANDI,Tinderet Sub County,Tinderet Ward,f2OJrvgkEuq,NPYRMdqrK6L,t0J75eHKxz5,,,,,,
753,14479,NANDI,Tinderet Sub County,Chemelil/chemase Ward,EHPasx2Mt1b,NPYRMdqrK6L,t0J75eHKxz5,,,,,,
754,18382,NANDI,Nandi East Sub County,Kapsimotwo Ward,lTqRLp5FwoY,W6Err8cQf5J,t0J75eHKxz5,,,,,,
763,19396,NANDI,Nandi East Sub County,Ol'lessos Ward,w0ljXC7o4Rd,W6Err8cQf5J,t0J75eHKxz5,,,,,,
764,17818,NANDI,Nandi East Sub County,Kapchorua Ward,kVHX5gVg5MQ,W6Err8cQf5J,t0J75eHKxz5,,,,,,
766,25741,NANDI,Chesumei Sub County,Kosirai Ward,k9ff5zzhfkX,xLWuQq3DjOR,t0J75eHKxz5,,,,,,
768,31375,NANDI,Chesumei Sub County,Kaptel/kamoiywo Ward,i590M8uyKeM,xLWuQq3DjOR,t0J75eHKxz5,,,,,,
769,24879,NANDI,Chesumei Sub County,Kiptuiya Ward,KfApxlzUoLn,xLWuQq3DjOR,t0J75eHKxz5,,,,,,
771,23994,NANDI,Emgwen Sub County,Kapkangani Ward,deAxq0HNUFb,Njv37QXxNy2,t0J75eHKxz5,,,,,,
